,bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,cover_id,downloaded
0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPr̩,4.56,439785960,9780439785969,eng,652,1944099,26249,0006456725-M.jpg,1
1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPr̩,4.49,439358078,9780439358071,eng,870,1996446,27613,0006456996-M.jpg,1
2,3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPr̩,4.47,439554934,9780439554930,eng,320,5629932,70390,,0
3,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,9780439554893,eng,352,6267,272,,0
4,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPr̩,4.55,043965548X,9780439655484,eng,435,2149872,33964,,0
5,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPr̩,4.78,439682584,9780439682589,eng,2690,38872,154,000278981-M.jpg,0
6,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,976540606,9780976540601,en-US,152,18,1,000742235-M.jpg,0
7,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780439827607,eng,3342,27410,820,000279436-M.jpg,0
8,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780517226957,eng,815,3602,258,000321859-M.jpg,0
9,13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,9780345453747,eng,815,240189,3954,000210662-M.jpg,0
10,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4416,408,,0
11,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,9780739322208,eng,6,1222,253,,0
12,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,9780517149256,en-US,815,2801,192,000320794-M.jpg,0
13,21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,9780767908184,eng,544,228522,8840,0006632137-M.jpg,1
14,22,Bill Bryson's African Diary,Bill Bryson,3.43,767915062,9780767915069,eng,55,6993,470,000528295-M.jpg,0
15,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,767910435,9780767910439,eng,256,2020,124,0006513848-M.jpg,1
16,24,In a Sunburned Country,Bill Bryson,4.07,767903862,9780767903868,eng,335,68213,4077,0006280049-M.jpg,1
17,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,47490,2153,000527681-M.jpg,0
18,26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060920081,en-US,299,43779,2146,00039893-M.jpg,0
19,27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,380713802,9780380713806,eng,254,46397,2127,0006543636-M.jpg,1
20,28,Notes from a Small Island,Bill Bryson,3.92,380727501,9780380727506,eng,324,76476,3159,,0
21,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,380715430,9780380715435,eng,270,26672,1986,0006541586-M.jpg,1
22,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780345538376,eng,1728,97731,1536,,0
23,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618517650,9780618517657,eng,1184,1670,91,0004248333-M.jpg,1
24,32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618346244,9780618346240,eng,1137,2819,139,000394253-M.jpg,0
25,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,618346252,9780618346257,eng,398,2009749,12784,0006616675-M.jpg,1
26,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,618260587,9780618260584,en-US,1216,1606,139,000394008-M.jpg,0
27,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,618391002,9780618391004,eng,218,18934,43,000394382-M.jpg,0
28,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9780618510825,eng,224,343,6,000394776-M.jpg,0
29,38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,618153977,9780618153978,eng,1223,216,19,,0
30,40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,9781933372013,eng,288,1214,202,000961727-M.jpg,0
31,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,9780976694007,eng,558,1269,59,000742452-M.jpg,0
32,50,Hatchet,Gary Paulsen,3.7,689840926,9780689840920,eng,208,254827,11346,000436248-M.jpg,0
33,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,9781557344496,eng,48,35,2,000780034-M.jpg,0
34,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,9780385326506,eng,144,1996,326,000239597-M.jpg,0
35,54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,0001928956-M.jpg,1
36,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,9781595580276,en-US,228,99,16,000874855-M.jpg,0
37,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,9781595962805,eng,304,167,4,000875098-M.jpg,0
38,58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9780670059676,eng,256,957,112,000400998-M.jpg,0
39,59,The Changeling Sea,Patricia A. McKillip,4.07,141312629,9780141312620,eng,137,4319,289,000108681-M.jpg,0
40,61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9780595321803,eng,228,1155,92,000387916-M.jpg,0
41,63,The Changeling,Kate Horsley,3.56,1590301943,9781590301944,eng,339,295,42,000859585-M.jpg,0
42,66,The Changeling (Daughters of England  #15),Philippa Carr,3.99,449146979,9780449146972,eng,369,341,12,0006603863-M.jpg,1
